ID, gender, age, household, church
812, 1, 15, 5880, 147
813, 1, 15, 2880, 13
814, 1, 21, 1449, 181
815, 1, 23, 4583, 155
816, 1, 15, 748, 75
817, 1, 22, 6399, 9
818, 1, 20, 6422, 128
819, 1, 16, 755, 75
820, 1, 23, 5266, 5
821, 1, 16, 1506, 23
822, 1, 18, 4290, -1
823, 1, 21, 4408, 140
824, 1, 20, 6256, 57
825, 1, 18, 1550, 103
826, 1, 22, 2214, -1
827, 1, 22, 5746, 170
828, 1, 19, 3445, 173
829, 1, 20, 5240, 131
830, 1, 20, 1678, 37
831, 1, 16, 5401, 171
832, 1, 16, 5948, 122
833, 1, 15, 4101, -1
834, 1, 15, 4641, 39
835, 1, 22, 4232, 45
836, 1, 18, 4247, 49
837, 1, 24, 2370, 18
838, 1, 19, 6143, 109
839, 1, 19, 3597, 172
840, 1, 23, 5872, 199
841, 1, 24, 5903, 59
842, 1, 15, 6408, 29
843, 1, 21, 2106, 63
844, 1, 23, 5727, 60
845, 1, 20, 6231, 163
846, 1, 22, 4976, 165
847, 1, 22, 6501, 190
848, 1, 23, 4544, 14
849, 1, 21, 4474, 169
850, 1, 16, 5904, 17
851, 1, 21, 6351, 52
852, 1, 20, 5084, -1
853, 1, 15, 2133, 92
854, 1, 23, 4089, 152
855, 1, 21, 3832, 27
856, 1, 16, 3695, 70
857, 1, 24, 5211, 148
858, 1, 21, 6127, 58
859, 1, 15, 5187, 11
860, 1, 17, 5382, 58
861, 1, 18, 517, 97
862, 1, 15, 6013, 167
863, 1, 23, 5902, 9
864, 1, 17, 4010, 203
865, 1, 22, 6144, 41
866, 1, 21, 5419, 1
867, 1, 22, 4471, 32
868, 1, 24, 2991, 184
869, 1, 21, 4786, 163
870, 1, 20, 5519, 99
871, 1, 21, 3946, 94
872, 1, 20, 2349, 165
873, 1, 17, 5639, 161
874, 1, 15, 5921, 95
875, 1, 16, 2556, -1
876, 1, 24, 3333, 155
877, 1, 18, 5040, 133
878, 1, 17, 6065, 99
879, 1, 17, 6590, 196
880, 1, 17, 884, 107
881, 1, 24, 4643, 80
882, 1, 19, 4888, 48
883, 1, 16, 2862, 105
884, 1, 18, 3836, 44
885, 1, 22, 6116, 92
886, 1, 24, 3262, 44
887, 1, 19, 4953, 106
888, 1, 18, 5283, 124
889, 1, 17, 3303, 7
890, 1, 21, 3602, 202
891, 1, 19, 2454, 12
892, 1, 24, 4543, 54
893, 1, 22, 4775, 141
894, 1, 22, 4497, 106
895, 1, 16, 4153, 123
896, 1, 21, 3727, 142
897, 1, 15, 2235, 6
898, 1, 15, 2769, 145
899, 1, 15, 2142, -1
900, 1, 21, 616, 173
901, 1, 16, 2838, 65
902, 1, 16, 5349, 63
903, 1, 15, 2528, 138
904, 1, 17, 6314, 127
905, 1, 22, 2289, 141
906, 1, 15, 6327, 119
907, 1, 15, 1691, 199
908, 1, 24, 668, 45
909, 1, 18, 5832, 81
910, 1, 24, 2972, 142
911, 1, 15, 332, 189
912, 1, 17, 6451, 92
913, 1, 16, 2562, 188
914, 1, 15, 2421, 75
915, 1, 16, 6491, 95
916, 1, 18, 6519, 133
917, 1, 21, 4662, 129
918, 1, 17, 2470, 4
919, 1, 21, 665, 51
920, 1, 15, 5298, 210
921, 1, 17, 5986, 86
922, 1, 18, 0, 0
923, 1, 17, 4423, 36
924, 1, 22, 5460, 12
925, 1, 24, 6102, 150
926, 1, 21, 6588, 63
927, 1, 17, 861, 23
928, 1, 21, 3955, 32
929, 1, 24, 5569, 184
930, 1, 22, 6058, 123
931, 1, 15, 6138, 206
932, 1, 20, 5452, 142
933, 1, 21, 6096, 145
934, 1, 23, 6576, 118
